BeginningFrame;EndFrame;FrameCount;Time;Tub
12992;13173;181;9.05;Test A
13411;13594;183;9.15;Test A
13594;13779;185;9.25;Test A
13779;13953;174;8.7;Test A
14190;14358;168;8.4;Test A
14358;14538;180;9;Test A
14538;14718;180;9;Test A
14718;14903;185;9.25;Test A
14903;15083;180;9;Test A
15083;15255;172;8.6;Test A
15255;15432;177;8.85;Test A
15432;15621;189;9.45;Test A
15621;15812;191;9.55;Test A
15812;15998;186;9.3;Test A
16614;16783;169;8.45;Test A
17013;17188;175;8.75;Test A
17188;17372;184;9.2;Test A
17544;17719;175;8.75;Test A
17719;17892;173;8.65;Test A
